gid,latitude,longitude,google_maps_link,vacancy_score,vacancy_subscore,vacancy_subscore_v1,road_subscore,healthcare_subscore,education_subscore,lifestyle_subscore,essential_services_subscore,urban_percentage,water_percentage,other_percentage,healthcare_count_1km,education_count_1km,lifestyle_count_1km
2838,17.206300268287176,78.15079579440874,"https://www.google.com/maps?q=17.206300,78.150796",100.0,100.0,15.04,13.7,21.95,0.0,17.74,0.0,0.0,0.0,0.0,0,0,0
2839,17.20916218441289,78.1507519510842,"https://www.google.com/maps?q=17.209162,78.150752",100.0,100.0,7.27,15.2,23.32,0.0,18.0,0.0,0.0,0.0,0.0,0,0,0
2840,17.212024099618375,78.15070809933994,"https://www.google.com/maps?q=17.212024,78.150708",100.0,100.0,11.71,16.7,24.69,0.0,18.24,0.0,0.0,0.0,0.0,0,0,0
2841,17.214886013903488,78.15066423917533,"https://www.google.com/maps?q=17.214886,78.150664",100.0,100.0,15.54,18.21,26.06,0.0,18.47,0.0,0.0,0.0,0.0,0,0,0
2842,17.217747927268086,78.15062037058976,"https://www.google.com/maps?q=17.217748,78.150620",100.0,100.0,12.95,18.17,27.43,0.0,18.68,0.0,0.0,0.0,0.0,0,0,0
2843,17.220609839712036,78.15057649358263,"https://www.google.com/maps?q=17.220610,78.150576",100.0,100.0,8.38,19.67,28.8,0.0,18.87,0.0,0.0,0.0,0.0,0,0,0
2844,17.22347175123519,78.15053260815337,"https://www.google.com/maps?q=17.223472,78.150533",100.0,100.0,8.14,21.17,30.16,0.0,19.04,0.0,0.0,0.0,0.0,0,0,0
2845,17.22633366183742,78.15048871430136,"https://www.google.com/maps?q=17.226334,78.150489",100.0,100.0,2.71,22.67,31.53,0.0,19.2,0.0,0.0,0.0,0.0,0,0,0
2846,17.229195571518567,78.15044481202598,"https://www.google.com/maps?q=17.229196,78.150445",100.0,100.0,3.58,24.18,32.9,0.0,19.34,0.0,0.0,0.0,0.0,0,0,0
2847,17.23205748027851,78.15040090132663,"https://www.google.com/maps?q=17.232057,78.150401",100.0,100.0,10.6,32.43,34.27,0.0,19.46,0.0,0.0,0.0,0.0,0,0,0
2848,17.234919388117092,78.15035698220271,"https://www.google.com/maps?q=17.234919,78.150357",100.0,100.0,17.63,33.93,35.64,0.0,19.57,0.0,0.0,0.0,0.0,0,0,0
2849,17.237781295034182,78.15031305465364,"https://www.google.com/maps?q=17.237781,78.150313",100.0,100.0,7.03,35.33,37.01,0.0,19.71,0.0,0.0,0.0,0.0,0,0,0
2850,17.240643201029634,78.15026911867879,"https://www.google.com/maps?q=17.240643,78.150269",100.0,100.0,3.95,26.23,38.38,0.0,20.29,0.0,0.0,0.0,0.0,0,0,0
2851,17.24350510610331,78.15022517427755,"https://www.google.com/maps?q=17.243505,78.150225",100.0,100.0,8.38,27.73,39.75,0.0,20.85,0.0,0.0,0.0,0.0,0,0,0
2852,17.246367010255067,78.15018122144932,"https://www.google.com/maps?q=17.246367,78.150181",100.0,100.0,6.91,29.23,41.11,0.0,21.4,0.0,0.0,0.0,0.0,0,0,0
2853,17.249228913484778,78.15013726019349,"https://www.google.com/maps?q=17.249229,78.150137",100.0,100.0,7.03,30.74,42.48,0.0,21.93,0.0,0.0,0.0,0.0,0,0,0
2854,17.252090815792286,78.1500932905095,"https://www.google.com/maps?q=17.252091,78.150093",100.0,100.0,9.86,35.76,43.85,0.0,22.45,0.0,0.0,0.0,0.0,0,0,0
2855,17.254952717177456,78.15004931239669,"https://www.google.com/maps?q=17.254953,78.150049",100.0,100.0,6.91,37.92,45.22,0.0,22.96,0.0,0.0,0.0,0.0,0,0,0
2856,17.257814617640147,78.1500053258545,"https://www.google.com/maps?q=17.257815,78.150005",100.0,100.0,6.29,39.42,46.59,0.0,23.45,0.0,0.0,0.0,0.0,0,0,0
2857,17.260676517180222,78.14996133088229,"https://www.google.com/maps?q=17.260677,78.149961",100.0,100.0,5.06,40.92,47.96,0.0,23.93,0.0,0.0,0.0,0.0,0,0,0
2858,17.263538415797544,78.14991732747944,"https://www.google.com/maps?q=17.263538,78.149917",100.0,100.0,1.23,38.9,49.32,0.0,24.39,0.0,0.0,0.0,0.0,0,0,0
2859,17.26640031349196,78.14987331564541,"https://www.google.com/maps?q=17.266400,78.149873",100.0,100.0,7.27,40.41,50.69,0.0,24.84,0.0,0.0,0.0,0.0,0,0,0
2860,17.26926221026334,78.14982929537955,"https://www.google.com/maps?q=17.269262,78.149829",100.0,100.0,6.78,42.23,52.06,0.0,25.27,0.0,0.0,0.0,0.0,0,0,0
2861,17.272124106111544,78.14978526668123,"https://www.google.com/maps?q=17.272124,78.149785",100.0,100.0,17.76,44.11,53.43,0.0,25.68,0.0,0.0,0.0,0.0,0,0,0
2862,17.27498600103642,78.1497412295499,"https://www.google.com/maps?q=17.274986,78.149741",100.0,100.0,26.63,48.04,54.8,0.0,26.08,0.0,0.0,0.0,0.0,0,0,0
2863,17.277847895037844,78.14969718398491,"https://www.google.com/maps?q=17.277848,78.149697",100.0,100.0,4.81,47.27,56.16,0.0,26.46,0.0,0.0,0.0,0.0,0,0,0
2864,17.280709788115658,78.1496531299857,"https://www.google.com/maps?q=17.280710,78.149653",100.0,100.0,7.03,48.86,57.53,0.0,26.82,0.0,0.0,0.0,0.0,0,0,0
2865,17.28357168026974,78.1496090675516,"https://www.google.com/maps?q=17.283572,78.149609",100.0,100.0,9.49,50.62,58.89,0.0,27.16,0.0,0.0,0.0,0.0,0,0,0
2866,17.286433571499938,78.14956499668206,"https://www.google.com/maps?q=17.286434,78.149565",100.0,100.0,9.12,52.12,60.26,0.0,27.48,0.0,0.0,0.0,0.0,0,0,0
2867,17.289295461806113,78.14952091737644,"https://www.google.com/maps?q=17.289295,78.149521",100.0,100.0,14.06,53.48,61.62,0.0,27.79,0.0,0.0,0.0,0.0,0,0,0
2868,17.292157351188127,78.14947682963415,"https://www.google.com/maps?q=17.292157,78.149477",100.0,100.0,13.69,67.36,62.99,0.0,28.07,0.0,0.0,0.0,0.0,0,0,0
2869,17.29501923964584,78.14943273345459,"https://www.google.com/maps?q=17.295019,78.149433",100.0,100.0,3.45,69.01,64.34,0.0,28.33,0.0,0.0,0.0,0.0,0,0,0
2870,17.29788112717911,78.14938862883713,"https://www.google.com/maps?q=17.297881,78.149389",100.0,100.0,0.62,69.02,66.12,0.0,28.58,0.0,0.0,0.0,0.0,1,0,0
2871,17.300743013787798,78.1493445157812,"https://www.google.com/maps?q=17.300743,78.149345",100.0,100.0,7.89,71.13,67.45,0.0,28.8,0.0,0.0,0.0,0.0,1,0,0
2872,17.30360489947176,78.14930039428614,"https://www.google.com/maps?q=17.303605,78.149300",100.0,100.0,3.21,77.75,68.74,0.0,29.0,0.0,0.0,0.0,0.0,1,0,0
2873,17.306466784230857,78.14925626435141,"https://www.google.com/maps?q=17.306467,78.149256",100.0,100.0,10.73,78.12,69.63,0.0,29.18,0.0,0.0,0.0,0.0,1,0,0
2874,17.309328668064957,78.14921212597632,"https://www.google.com/maps?q=17.309329,78.149212",100.0,100.0,22.93,61.24,68.95,0.0,29.33,0.0,0.0,0.0,0.0,1,0,0
2875,17.312190550973906,78.1491679791603,"https://www.google.com/maps?q=17.312191,78.149168",100.0,100.0,8.51,58.1,67.7,0.0,29.47,0.0,0.0,0.0,0.0,1,0,0
2876,17.31505243295758,78.14912382390278,"https://www.google.com/maps?q=17.315052,78.149124",100.0,100.0,18.13,57.19,66.37,0.0,29.58,0.0,0.0,0.0,0.0,1,0,0
2877,17.31791431401582,78.1490796602031,"https://www.google.com/maps?q=17.317914,78.149080",100.0,100.0,17.76,59.32,65.04,0.0,29.67,0.0,0.0,0.0,0.0,0,0,0
2878,17.3207761941485,78.14903548806068,"https://www.google.com/maps?q=17.320776,78.149035",100.0,100.0,9.0,62.07,64.49,0.0,29.73,0.0,0.0,0.0,0.0,0,0,0
2879,17.32363807335547,78.1489913074749,"https://www.google.com/maps?q=17.323638,78.148991",100.0,100.0,10.36,63.14,63.68,0.0,29.77,0.0,0.0,0.0,0.0,0,0,0
2880,17.3264999516366,78.14894711844518,"https://www.google.com/maps?q=17.326500,78.148947",100.0,100.0,11.71,65.87,62.71,0.0,29.79,0.0,0.0,0.0,0.0,0,0,0
2881,17.329361828991743,78.14890292097085,"https://www.google.com/maps?q=17.329362,78.148903",100.0,100.0,27.13,67.91,61.63,0.0,29.79,0.0,0.0,0.0,0.0,0,0,0
2882,17.332223705420763,78.14885871505133,"https://www.google.com/maps?q=17.332224,78.148859",100.0,100.0,12.21,67.01,60.48,0.0,29.76,0.0,0.0,0.0,0.0,0,0,0
